family,father_height,mother_height,midparent_height,gender,child_height
001,78.5,67,75.43,male,73.2
001,78.5,67,75.43,female,69.2
001,78.5,67,75.43,female,69
001,78.5,67,75.43,female,69
002,75.5,66.5,73.66,male,73.5
002,75.5,66.5,73.66,male,72.5
002,75.5,66.5,73.66,female,65.5
002,75.5,66.5,73.66,female,65.5
003,75,64,72.06,male,71
003,75,64,72.06,female,68
004,75,64,72.06,male,70.5
004,75,64,72.06,male,68.5
004,75,64,72.06,female,67
004,75,64,72.06,female,64.5
004,75,64,72.06,female,63
005,75,58.5,69.09,male,72
005,75,58.5,69.09,male,69
005,75,58.5,69.09,male,68
005,75,58.5,69.09,female,66.5
005,75,58.5,69.09,female,62.5
005,75,58.5,69.09,female,62.5
006,74,68,73.72,female,69.5
007,74,68,73.72,male,76.5
007,74,68,73.72,male,74
007,74,68,73.72,male,73
007,74,68,73.72,male,73
007,74,68,73.72,female,70.5
007,74,68,73.72,female,64
008,74,66.5,72.91,female,70.5
008,74,66.5,72.91,female,68
008,74,66.5,72.91,female,66
009,74.5,66,72.89,female,66
010,74,65.5,72.37,female,65.5
011,74,62,70.48,male,74
011,74,62,70.48,male,70
011,74,62,70.48,female,68
011,74,62,70.48,female,67
011,74,62,70.48,female,67
011,74,62,70.48,female,66
011,74,62,70.48,female,63.5
011,74,62,70.48,female,63
012,74,61,69.94,female,65
013,73,67,72.68,male,71
013,73,67,72.68,female,62
014,73,67,72.68,male,68
014,73,67,72.68,male,67
015,73,66.5,72.41,male,71
015,73,66.5,72.41,male,70.5
015,73,66.5,72.41,female,66.7
016,73,65,71.6,male,72
016,73,65,71.6,male,70.5
016,73,65,71.6,male,70.2
016,73,65,71.6,male,70.2
016,73,65,71.6,male,69.2
016,73,65,71.6,female,68.7
016,73,65,71.6,female,66.5
016,73,65,71.6,female,64.5
016,73,65,71.6,female,63.5
017,73,64.5,71.33000000000001,male,74
017,73,64.5,71.33000000000001,male,73
017,73,64.5,71.33000000000001,male,71.5
017,73,64.5,71.33000000000001,male,62.5
017,73,64.5,71.33000000000001,female,66.5
017,73,64.5,71.33000000000001,female,62.3
018,73,64,71.06,female,66
018,73,64,71.06,female,64.5
018,73,64,71.06,female,64
019,73.2,63,70.62,female,62.7
020,72.7,69,73.61000000000001,male,73.2
020,72.7,69,73.61000000000001,male,73
020,72.7,69,73.61000000000001,male,72.7
020,72.7,69,73.61000000000001,female,70
020,72.7,69,73.61000000000001,female,69
020,72.7,69,73.61000000000001,female,68.5
020,72.7,69,73.61000000000001,female,68
020,72.7,69,73.61000000000001,female,66
021,72,68,72.72,male,73
021,72,68,72.72,female,68.5
021,72,68,72.72,female,68
022,72,67,72.18,male,73
022,72,67,72.18,male,71
022,72,67,72.18,female,67
023,72,65,71.1,male,74.2
023,72,65,71.1,male,70.5
023,72,65,71.1,male,69.5
023,72,65,71.1,female,66
023,72,65,71.1,female,65.5
023,72,65,71.1,female,65
023,72,65,71.1,female,65
024,72,65.5,71.37,female,65.5
025,72,64,70.56,female,66
025,72,64,70.56,female,63
026,72,63,70.02000000000001,male,70.5
026,72,63,70.02000000000001,male,70.5
026,72,63,70.02000000000001,male,69
026,72,63,70.02000000000001,female,65
026,72,63,70.02000000000001,female,63
027,72,63,70.02000000000001,male,69
027,72,63,70.02000000000001,male,67
027,72,63,70.02000000000001,female,63
028,72,63,70.02000000000001,male,73
028,72,63,70.02000000000001,male,67
028,72,63,70.02000000000001,female,70.5
028,72,63,70.02000000000001,female,70
028,72,63,70.02000000000001,female,66.5
028,72,63,70.02000000000001,female,63
029,72.5,63.5,70.53999999999999,female,67.5
029,72.5,63.5,70.53999999999999,female,67.2
029,72.5,63.5,70.53999999999999,female,66.7
030,72,62,69.48,female,64
031,72.5,62,69.73,male,71
031,72.5,62,69.73,male,70
031,72.5,62,69.73,male,70
031,72.5,62,69.73,female,66
031,72.5,62,69.73,female,65
031,72.5,62,69.73,female,65
032,72,62,69.48,male,74
032,72,62,69.48,male,72
032,72,62,69.48,male,69
032,72,62,69.48,female,67.5
032,72,62,69.48,female,63.5
033,72,62,69.48,male,72
033,72,62,69.48,male,71.5
033,72,62,69.48,male,71.5
033,72,62,69.48,male,70
033,72,62,69.48,female,68
034,72,61,68.94,female,65.7
035,71,69,72.76,male,78
035,71,69,72.76,male,74
035,71,69,72.76,male,73
035,71,69,72.76,male,72
035,71,69,72.76,female,67
036,71,67,71.68,male,73.2
036,71,67,71.68,male,73
036,71,67,71.68,male,69
036,71,67,71.68,female,67
037,71,66,71.14,male,70
037,71,66,71.14,female,67
037,71,66,71.14,female,67
037,71,66,71.14,female,66.5
038,71,66,71.14,male,70
